Character_name;Freebase_character_ID;Actor_gender;Wikipedia_movie_ID;Coref_count;Main_actor;Adjectives;Verbs;Attributes
Marybeth;/m/05n7jnr;F;5073042;14;2;['quiet'];['temper', 'take', 'bring', 'tell', 'believe', 'shoot', 'fall', 'arrive', 'discover', 'set', 'bend', 'see', 'grab', 'scream'];[]
Shawn;;M;5073042;7;3;[];['know', 'do', 'lead', 'crash', 'stand', 'try'];['guide', 'guide', 'student']
Marcus;;M;5073042;6;4;[];['agree', 'decide'];[]
Sampson;/m/0h2vy64;M;5073042;6;5;[];['fish', 'fall', 'grab'];[]
Crowley;;M;5073042;4;6;['deformed'];['live'];['creature', 'boy']
Misty;;F;5073042;4;7;[];['strip', 'stand', 'decapitate'];['star']
Jenna;;F;5073042;2;8;[];[];['actress']
Shannon;;F;5073042;2;9;[];['see'];[]
Orleans;;M;5073042;1;10;[];[];[]
alligator;;M;5073042;1;11;[];['fall'];[]
Lena Kaligaris;/m/02qtnht;F;5076487;35;0;[];['spend', 'meet', 'meet', 'learn', 'hold', 'admit', 'make', 'begin', 'answer', 'confront', 'confess', 'love', 'mail', 'call', 'tell', 'give'];[]
Carmen's Mother;/m/0hgfb03;F;5076487;34;1;[];['visit', 'come', 'go', 'raise', 'tell', 'tell', 'end'];['comfort', 'neglect', 'attendant']
"Bridget ""Bee"" Vreeland";/m/04669kh;F;5076487;21;2;[];['go', 'go', 'develop', 'reveal', 'put', 'lose', 'return'];[]
Tibby;/m/0hgfb0s;F;5076487;15;3;[];['stay', 'hear', 'avoid', 'spend', 'receive', 'visit', 'go', 'undergo'];[]
Bailey;/m/0hgfb0b;F;5076487;13;4;[];['become', 'learn', 'have', 'go', 'offer', 'respond', 'die'];['plead']
Eric;/m/0hgf9_x;M;5076487;10;5;[];['visit', 'hope'];['audience']
Kostas;/m/0hgfb16;M;5076487;5;6;[];['continue', 'tell', 'share'];[]
dad;;M;5076487;5;7;[];['introduce', 'make'];['reception']
assistant;;F;5076487;3;8;[];['appoint'];[]
grandfather;;M;5076487;2;9;[];['ask', 'agree', 'agree'];[]
Al;/m/02nwqmz;M;5076487;1;10;[];[];[]
Dounas;;F;5076487;1;11;['american'];[];[]
Rollins;;F;5076487;1;12;[];['hear', 'call'];[]
boy;;M;5076487;1;13;[];['name', 'love'];[]
David Langley;/m/0h5tfxy;M;5079650;65;0;[];['promise', 'talk', 'promise', 'take', 'decide', 'go', 'step', 'forget', 'realise', 'stake', 'lose', 'remove', 'take', 'stay', 'accept', 'give', 'give', 'tell', 'like', 'close'];['david langley', 'head', 'hatch', 'finger']
Mr. Bean;/m/02nwjjk;M;5079650;39;1;['clumsy', 'much'];['take', 'decide', 'blow', 'sneeze', 'take', 'use', 'gather', 'distract', 'give', 'reveal'];['guard', 'doctor']
child;;M;5079650;12;2;['little'];['throw', 'hide', 'handle'];['eccentric']
Lt. Brutus;/m/0h5tfyt;M;5079650;7;3;[];['deal', 'find', 'stop'];[]
Alison Langley;/m/0h5tfz7;F;5079650;6;4;[];['refuse', 'tell'];[]
Jennifer Langley;/m/0h5tfyc;F;5079650;5;5;[];['rebel'];['daughter']
fool;;M;5079650;5;6;[];['take', 'involve'];[]
chairman;;M;5079650;2;7;[];[];[]
Whistler;;M;5079650;1;8;[];[];[]
Eduardo;;M;5079733;1;0;[];['put'];[]
chaperone;;M;5079733;1;1;[];[];[]
Greenberg;;M;5080099;9;0;[];['tell', 'hide', 'reveal', 'put'];[]
John Dortmunder;/m/0g6yyx;M;5080099;6;1;[];['exit', 'climb'];[]
Amusa;;M;5080099;5;2;[];['seek', 'fire'];[]
Abe;;M;5080099;3;3;['only', 'other'];['know', 'arrive'];['lawyer', 'son']
hypnotist;;M;5080099;1;4;[];[];[]
McBain;;M;5080311;20;0;[];['cheat', 'rescue', 'take', 'injure', 'go'];['demolition']
